Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine 
45,DGY1657_2,99.99,0.01,0,0.05,96.6,4.37
45,DGY1657_3,100,0,0,0,97.58,3.27
45,DGY2331_1,0,2.23,96.65,99.95,0.02,0
45,DGY2331_2,0,4.25,93.12,99.98,0,0
45,DGY2331_3,0,3.75,94.17,99.95,0,0
45,DGY2349_1,0.52,89.68,8.31,99.91,0,0.06
45,DGY2349_2,1.5,93.27,4.54,99.96,0,0
45,DGY2349_3,0.25,92.85,5.76,99.99,0,0
45,DGY2543_1,2.47,92.62,4.68,0.63,95.59,4.99
45,DGY2543_2,0.37,92.13,6.47,0.01,94.35,7.46
45,DGY2543_3,0.29,92.38,6.1,0.02,94.38,7.28
45,DGY2546_1,0.23,90.12,8.22,0,93.38,8.55
45,DGY2546_2,0.18,91.17,7.4,0.02,93.73,7.62
45,DGY2546_3,0.33,92.23,6.21,0.04,94.49,6.95
45,DGY1883_1,99.98,0.02,0,0.1,0.21,99.63
45,DGY1883_2,99.96,0,0.04,0.02,0.46,99.58
45,DGY1883_3,99.93,0.04,0.02,0.02,0.27,99.62
45,DGY1883_4,99.98,0,0,0.11,0.14,99.75
45,DGY1886_1,99.91,0,0,0.3,1.91,98.03
45,DGY1886_2,99.91,0,0.09,0.12,2.28,97.66
45,DGY1886_3,99.96,0,0.04,0.22,0.78,99.03
45,DGY1886_4,99.88,0.08,0,0.16,1.41,98.44
45,DGY1917_1,99.98,0.01,0,0.01,0.24,99.75
45,DGY1917_2,99.97,0.02,0.02,0.66,0.08,99.27
45,DGY1917_3,100,0,0,0,0.27,99.73
45,DGY1917_4,99.99,0,0.01,0.01,0.06,99.92
45,DGY1920_1,99.77,0.23,0,0.02,10.8,93.2
45,DGY1920_2,99.98,0,0.02,0,10.92,93.31
45,DGY1920_3,99.95,0,0.05,0.08,6.11,96.2
45,DGY1920_4,99.98,0.02,0,0.05,5.54,96.06
45,DGY1976_1,99.94,0,0.04,0.04,0.34,99.62
45,DGY1976_2,99.99,0.01,0,0.04,0.23,99.72
45,DGY1976_3,100,0,0,0,0.6,99.42
45,DGY1976_4,100,0,0,0.01,0.2,99.8
45,DGY1988_1,99.97,0.03,0,0.1,0.13,99.77
45,DGY1988_2,99.99,0,0,0.02,0.22,99.76
45,DGY1988_3,99.98,0,0.02,0.02,0.18,99.8
45,DGY1988_4,99.99,0,0.01,0.01,0.2,99.79
45,DGY2702_1,0.03,1.2,98.25,0.03,92.53,10.08
45,DGY2702_2,0.08,1.34,98.05,0.06,92.38,9.95
45,DGY2702_3,0.07,1.1,98.4,0.07,89.35,13.33
45,DGY2702_4,0.05,1.02,98.46,0.04,89.38,13.52
45,DGY2748_1,2.93,86.69,10.78,0.34,7.23,94.59
45,DGY2748_2,1.61,66.48,31.3,0.33,17.08,84.15
45,DGY2748_3,1.14,60.92,37.17,0.62,14.51,85.34
45,DGY2748_4,5.36,70.27,23.94,1.85,16.13,83.2
45,DGY2750_1,1.37,59.84,37.94,0.47,25.96,74.32
45,DGY2750_3,0.84,64.37,33.76,0.41,39.52,60.91
45,DGY2751_1,1.47,7.82,90.14,1.21,3.38,95.95
45,DGY2751_2,1.16,6.94,91.32,0.71,3.2,96.56
45,DGY2751_3,1.11,8.26,90.12,0.5,5.89,94.04
45,DGY2751_4,1.36,6.06,92.08,1.18,2.19,96.81
45,DGY2755_1,4.65,62.63,31.32,4.22,21.17,75.43
45,DGY2755_2,0.89,67.93,30.45,0.37,8.4,91.47
45,DGY2755_3,0.74,68.89,28.61,0.31,9.61,90.48
45,DGY2755_4,0.63,65.41,32.09,0.3,11.95,88.47
45,DGY2769_1,0.03,1.72,98.2,0.01,93,8.9
45,DGY2769_2,0,0.61,99.37,0,91.18,11.21
45,DGY2769_3,0,1.56,98.4,0.01,92.24,9.98
45,DGY2769_4,0.03,0.61,99.35,0.03,90.19,12.63
57,DGY1_1,99.94,0.01,0,99.95,0,0
57,DGY1_2,99.95,0.02,0.03,99.93,0.03,0
57,DGY1_3,99.96,0,0.03,99.96,0.03,0
57,DGY500_1,99.94,0,0.01,0.05,95.42,6.06
57,DGY500_2,99.83,0.1,0.07,0.69,91.03,9.23
57,DGY500_3,99.91,0.03,0.04,0.06,97.99,2.57
57,DGY1315_1,99.65,0,0.01,0.03,3.24,98.09
57,DGY1315_2,99.89,0,0.11,0.09,15.05,91.68
57,DGY1315_3,99.92,0.03,0.04,0.08,0.9,99.39
57,DGY1657_1,99.95,0,0.02,0.02,96.06,5.37
57,DGY1657_2,99.92,0.02,0.06,0.08,96.79,3.62
57,DGY1657_3,99.9,0.02,0.05,0.05,96.9,3.61
57,DGY2331_1,0.05,3.38,94.86,99.92,0,0.02
57,DGY2331_2,0.02,19.27,77.97,99.88,0.09,0
57,DGY2331_3,0.1,55.04,40.74,99.94,0.06,0
57,DGY2349_1,2.63,92.27,4.49,99.84,0,0.1
57,DGY2349_2,24.23,79.72,1.28,99.98,0,0
57,DGY2349_3,9.06,92.02,1.27,99.98,0.02,0
57,DGY2543_1,6.19,90.36,3.81,0.18,96.18,4.78
57,DGY2543_2,0.24,90.69,7.71,0.05,93.7,7.95
57,DGY2543_3,0.49,92.12,6.26,0.06,94.54,6.82
57,DGY2546_1,0.38,89.85,8.33,0.07,91.75,10.27
57,DGY2546_2,0.44,91.21,7.32,0.03,92.29,9.64
57,DGY2546_3,0.2,90.1,8.34,0.04,93.43,8.32
57,DGY1883_1,99.15,0.02,0,1.37,0.25,98.33
57,DGY1883_2,99.67,0.02,0,0.02,0.17,99.76
57,DGY1883_3,99.93,0.04,0,0.07,0.2,99.66
57,DGY1883_4,99.74,0,0.05,0.05,0.29,99.66
57,DGY1886_1,99.72,0.12,0.04,0.35,2.09,97.64
57,DGY1886_2,99.72,0.09,0.03,0.19,1.89,97.87
57,DGY1886_3,99.85,0.11,0,0.15,0.74,99.12
57,DGY1886_4,99.82,0.04,0,0.18,2.29,97.53
57,DGY1917_1,99.46,0,0,0.02,0.26,99.71
57,DGY1917_2,99.81,0,0.01,0.06,0.17,99.78
57,DGY1917_3,100,0,0,0.02,0.28,99.68
57,DGY1917_4,100,0,0,0.03,0.11,99.87
57,DGY1920_1,98.09,1.42,0.02,0.06,7.63,95.27
57,DGY1920_2,99.6,0.08,0,0,13.33,93.35
57,DGY1920_3,99.15,0.02,0,0.02,5.91,96.75
57,DGY1920_4,99.75,0,0,0.06,6.48,96.82
